model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_
naive,669.253,17.7597,25.8699,0.7259
tft,535.9704,15.2929,23.151,0.7805
lstm,1049.7831,26.3356,32.4004,0.57
nbeats,2113.3241,32.9029,45.9709,0.1344
deepar,2190.1363,35.9894,46.7989,0.1029
tcn,1844.0024,37.876,42.9418,0.2447
transformer,1502.6475,31.7511,38.764,0.3845
arima,629.172,16.5583,25.0833,0.7423
exponential_smoothing,695.9174,18.2426,26.3802,0.715
theta,669.2901,17.7509,25.8706,0.7259
fft,2295.0866,40.0957,47.9071,0.0599
