model_name,mean_squared_error,mean_absolute_error,root_mean_squared_error,r2_score_
naive,680.4166,18.507,26.0848,0.8416
tft,536.9951,17.1849,23.1732,0.875
lstm,956.3324,22.8856,30.9246,0.7773
nbeats,750.5786,20.0911,27.3967,0.8252
deepar,5966.8085,64.7228,77.2451,-0.3893
tcn,512.5744,15.3361,22.6401,0.8807
transformer,717.9418,19.8563,26.7944,0.8328
arima,609.7563,17.448,24.6932,0.858
exponential_smoothing,700.4801,18.8689,26.4666,0.8369
theta,680.3904,18.4945,26.0843,0.8416
fft,6341.1513,58.8585,79.6313,-0.4765
